fault_label,sample_count,run_count,percentage
0,1677200,2800,29.95
1,140100,100,2.5017857142857145
2,140100,100,2.5017857142857145
3,140100,100,2.5017857142857145
4,140100,100,2.5017857142857145
5,140100,100,2.5017857142857145
6,140100,100,2.5017857142857145
7,140100,100,2.5017857142857145
8,140100,100,2.5017857142857145
9,140100,100,2.5017857142857145
10,140100,100,2.5017857142857145
11,140100,100,2.5017857142857145
12,140100,100,2.5017857142857145
13,140100,100,2.5017857142857145
14,140100,100,2.5017857142857145
15,140100,100,2.5017857142857145
16,140100,100,2.5017857142857145
17,140100,100,2.5017857142857145
18,140100,100,2.5017857142857145
19,140100,100,2.5017857142857145
20,140100,100,2.5017857142857145
21,140100,100,2.5017857142857145
22,140100,100,2.5017857142857145
23,140100,100,2.5017857142857145
24,140100,100,2.5017857142857145
25,140100,100,2.5017857142857145
26,140100,100,2.5017857142857145
27,140100,100,2.5017857142857145
28,140100,100,2.5017857142857145
