source_column,dtype,min,max,mean,std,missing_count,unique_count,is_constant
xmeas_1,float64,-0.0045615863263607,1.0206375263615397,0.2799741087428234,0.08583465639758006,0.0,5594878.0,False
xmeas_2,float64,3445.1194426407915,3875.0357240052,3655.604246529293,20.9693172671178,0.0,5597301.0,False
xmeas_3,float64,4219.185083228972,4735.965770280868,4444.460079762377,28.669239509981058,0.0,5597301.0,False
xmeas_4,float64,8.304576448195908,10.171395636843556,9.225342819505123,0.10439168813248033,0.0,5597301.0,False
xmeas_5,float64,28.082213439934343,35.52876336860911,32.104340118037534,0.40560420020569576,0.0,5597301.0,False
xmeas_6,float64,43.26576161823736,51.02711692763117,47.29379773134303,0.39875018262236145,0.0,5597300.0,False
xmeas_7,float64,2514.15710881483,2937.9262609059983,2799.079431139909,10.276392664525217,0.0,5597299.0,False
xmeas_8,float64,60.08266595497816,69.0059150466271,65.00046446090137,0.5469999523508906,0.0,5597301.0,False
xmeas_9,float64,121.85877357722762,123.79325941063648,122.90002611452542,0.048945775115713006,0.0,5597292.0,False
xmeas_10,float64,-0.0052289062728458,0.8866777043593077,0.21582266324831656,0.06033399627535228,0.0,5597301.0,False
xmeas_11,float64,86.2627689342984,96.66098173550895,91.67614786017698,0.45922028039570273,0.0,5597299.0,False
xmeas_12,float64,28.59984936373492,71.37254555274376,49.99912368815603,1.3960674590299604,0.0,5597301.0,False
xmeas_13,float64,2427.027041330133,2841.4024961738537,2704.356565910922,10.524989811311197,0.0,5597300.0,False
xmeas_14,float64,23.25219421592196,28.38937385808196,25.286435939945036,0.22258272796444165,0.0,5597301.0,False
xmeas_15,float64,-7.008627823564763,99.13758035627184,49.982329420564845,3.0363593722754,0.0,5597301.0,False
xmeas_16,float64,2998.724884976266,3483.8169873484635,3324.317259583871,12.069135703157789,0.0,5597301.0,False
xmeas_17,float64,21.612806583375857,24.19873802821481,22.889686844931223,0.13048840456060257,0.0,5597301.0,False
xmeas_18,float64,59.80954355913242,69.88600195159228,66.52320713140612,0.5015022964130471,0.0,5597300.0,False
xmeas_19,float64,-0.7513530815613128,10.041097961979045,4.743088404159952,1.1557842638191065,0.0,5597301.0,False
xmeas_20,float64,244.2991252960828,309.99781841381355,278.359845009941,3.05888331633342,0.0,5597301.0,False
xmeas_21,float64,91.2788353360972,103.7678742776863,102.38101496078006,0.6949516660679369,0.0,5597295.0,False
xmeas_22,float64,80.63394263817808,98.58076775869075,91.81971978007229,1.0396775472045316,0.0,5597299.0,False
xmeas_23,float64,24.06561046118232,39.935466602663695,32.12462674364044,0.6528161343284035,0.0,2797201.0,False
xmeas_24,float64,9.87555980930235,17.536214517237944,14.926735565089714,0.35028110260304984,0.0,2797201.0,False
xmeas_25,float64,11.017176576576087,29.49445905047413,18.80484877525217,0.5424120631068928,0.0,2797200.0,False
xmeas_26,float64,5.318815011085572,6.9881741772214365,6.038834364897918,0.11795695852874759,0.0,2797201.0,False
xmeas_27,float64,12.920285644350342,24.30378724714889,16.773504199976298,0.5044514745665595,0.0,2797201.0,False
