run_id,n_samples,label,fault_id,is_normal,start_index,end_index,fault_onset,split
1904955,2000,0->14,14,False,1,2000,600,train
2779215,2000,0->13,13,False,1,2000,600,train
4423142,2000,0->8,8,False,1,2000,600,train
5112970,2000,0->17,17,False,1,2000,600,train
7962110,2000,0->10,10,False,1,2000,600,train
8336872,2000,0->23,23,False,1,2000,600,train
12415567,2000,0->21,21,False,1,2000,600,test
14229130,2000,0->25,25,False,1,2000,600,test
15006163,2000,0->28,28,False,1,2000,600,train
18576573,2000,0->25,25,False,1,2000,600,test
19305444,2000,0->28,28,False,1,2000,600,train
25106552,2000,0->21,21,False,1,2000,600,test
25237457,2000,0->8,8,False,1,2000,600,train
25980605,2000,0->17,17,False,1,2000,600,train
29038537,2000,0->10,10,False,1,2000,600,train
29188063,2000,0->23,23,False,1,2000,600,train
31423244,2000,0->14,14,False,1,2000,600,train
31982200,2000,0->13,13,False,1,2000,600,train
33932223,2000,0->8,8,False,1,2000,600,train
34126547,2000,0->17,17,False,1,2000,600,train
34534085,2000,0->24,24,False,1,2000,600,train
37733287,2000,0->10,10,False,1,2000,600,train
39563106,2000,0->14,14,False,1,2000,600,train
40687126,2000,0->13,13,False,1,2000,600,train
43641029,2000,0->16,16,False,1,2000,600,test
44015827,2000,0->25,25,False,1,2000,600,test
44189578,2000,0->28,28,False,1,2000,600,train
49963841,2000,0->7,7,False,1,2000,600,train
50056214,2000,0->21,21,False,1,2000,600,test
54004086,2000,0->7,7,False,1,2000,600,train
54109729,2000,0->21,21,False,1,2000,600,test
55306319,2000,0->4,4,False,1,2000,600,test
56328946,2000,0->16,16,False,1,2000,600,test
56478436,2000,0->25,25,False,1,2000,600,test
56634813,2000,0->28,28,False,1,2000,600,train
60409173,2000,0->14,14,False,1,2000,600,train
61783073,2000,0->13,13,False,1,2000,600,train
63416712,2000,0->8,8,False,1,2000,600,train
63623396,2000,0->17,17,False,1,2000,600,train
63740146,2000,0->24,24,False,1,2000,600,train
66955664,2000,0->10,10,False,1,2000,600,train
70258429,2000,0->21,21,False,1,2000,600,test
70665963,2000,0->12,12,False,1,2000,600,test
71096518,2000,0->18,18,False,1,2000,600,train
72639032,2000,0->25,25,False,1,2000,600,test
72732015,2000,0->3,3,False,1,2000,600,train
74024289,2000,0->28,28,False,1,2000,600,train
76574089,2000,0->14,14,False,1,2000,600,train
77683947,2000,0->20,20,False,1,2000,600,train
78058749,2000,0->13,13,False,1,2000,600,train
79919160,2000,0->17,17,False,1,2000,600,train
80609620,2000,0->8,8,False,1,2000,600,train
83099980,2000,0->10,10,False,1,2000,600,train
83956239,2000,0->17,17,False,1,2000,600,train
84700003,2000,0->8,8,False,1,2000,600,train
87452539,2000,0->10,10,False,1,2000,600,train
89262014,2000,0->14,14,False,1,2000,600,train
90388188,2000,0->20,20,False,1,2000,600,train
90537674,2000,0->13,13,False,1,2000,600,train
93718543,2000,0->25,25,False,1,2000,600,test
93824856,2000,0->3,3,False,1,2000,600,train
99771594,2000,0->21,21,False,1,2000,600,test
99888348,2000,0->12,12,False,1,2000,600,test
100578033,2000,0->18,18,False,1,2000,600,train
101899361,2000,0->25,25,False,1,2000,600,test
103025218,2000,0->4,4,False,1,2000,600,train
103758648,2000,0->28,28,False,1,2000,600,train
108441764,2000,0->21,21,False,1,2000,600,test
109430369,2000,0->17,17,False,1,2000,600,train
109625101,2000,0->8,8,False,1,2000,600,train
112377621,2000,0->10,10,False,1,2000,600,train
114334662,2000,0->27,27,False,1,2000,600,train
114742224,2000,0->14,14,False,1,2000,600,train
115452580,2000,0->13,13,False,1,2000,600,train
118682097,2000,0->27,27,False,1,2000,600,train
118798823,2000,0->14,14,False,1,2000,600,train
119783571,2000,0->13,13,False,1,2000,600,train
122137686,2000,0->17,17,False,1,2000,600,train
122344762,2000,0->8,8,False,1,2000,600,train
124835106,2000,0->10,10,False,1,2000,600,train
129292947,2000,0->21,21,False,1,2000,600,test
131118678,2000,0->25,25,False,1,2000,600,test
132538485,2000,0->4,4,False,1,2000,600,train
132993295,2000,0->28,28,False,1,2000,600,train
134226574,2000,0->3,3,False,1,2000,600,train
134319577,2000,0->25,25,False,1,2000,600,test
